profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;7;4;556;24
profile_2;10;14;10;9;70;7
profile_3;4;4;4;4;46;6
profile_4;9;14;10;7;49;7
profile_5;3;4;4;4;41;4
profile_6;6;11;7;4;33;4
profile_7;9;14;10;7;32;4
profile_8;9;14;10;4;33;4
