profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;7;4;604;22
profile_2;10;14;10;9;64;8
profile_3;4;4;4;4;53;6
profile_4;9;14;10;7;48;5
profile_5;3;4;4;4;45;5
profile_6;6;11;7;4;38;3
profile_7;9;14;10;7;27;3
profile_8;9;14;10;4;30;3
