profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;0;0;586;27
profile_2;10;14;0;0;80;11
profile_3;4;4;0;0;66;7
profile_4;9;14;0;0;52;7
profile_5;3;4;0;0;44;5
profile_6;6;11;0;0;36;5
profile_7;9;14;0;0;34;6
profile_8;9;14;0;0;38;5
