profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;0;0;587;24
profile_2;10;14;0;0;65;10
profile_3;4;4;0;0;51;6
profile_4;9;14;0;0;47;6
profile_5;3;4;0;0;43;5
profile_6;6;11;0;0;40;6
profile_7;9;14;0;0;32;5
profile_8;9;14;0;0;29;4
