profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;7;4;542;21
profile_2;10;14;10;9;65;8
profile_3;4;4;4;4;44;5
profile_4;9;14;10;7;46;4
profile_5;3;4;4;4;41;4
profile_6;6;11;7;4;40;4
profile_7;9;14;10;7;28;4
profile_8;9;14;10;4;29;3
