profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;7;4;567;22
profile_2;10;14;10;9;64;6
profile_3;4;4;4;4;55;6
profile_4;9;14;10;7;47;5
profile_5;3;4;4;4;37;4
profile_6;6;11;7;4;31;3
profile_7;9;14;10;7;30;3
profile_8;9;14;10;4;31;3
