profile;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_1;7;11;7;4;661;25
profile_2;10;14;10;9;61;7
profile_3;4;4;4;4;46;7
profile_4;9;14;10;7;46;6
profile_5;3;4;4;4;46;6
profile_6;6;11;7;4;32;5
profile_7;9;14;10;7;29;5
profile_8;9;14;10;4;33;4
